D2,shift,inv_ratio,sim,median_delay
2,0,0.0,0,28.0
2,0,0.0,1,11.5
2,0,0.0,2,15.5
2,0,0.0,3,20.5
2,0,0.0,4,6.0
2,0,0.0,5,15.5
2,0,0.0,6,58.0
2,0,0.0,7,19.0
2,0,0.0,8,9.0
2,0,0.0,9,27.0
2,0,0.0,10,55.0
2,0,0.0,11,9.0
2,0,0.0,12,41.5
2,0,0.0,13,8.0
2,0,0.0,14,9.5
2,0,0.0,15,44.0
2,0,0.0,16,19.5
2,0,0.0,17,1.5
2,0,0.0,18,8.5
2,0,0.0,19,33.0
2,0,0.25,0,126.0
2,0,0.25,1,21.5
2,0,0.25,2,357.0
2,0,0.25,3,10.0
2,0,0.25,4,140.0
2,0,0.25,5,24.0
2,0,0.25,6,33.0
2,0,0.25,7,55.0
2,0,0.25,8,398.0
2,0,0.25,9,35.5
2,0,0.25,10,13.5
2,0,0.25,11,21.0
2,0,0.25,12,14.0
2,0,0.25,13,30.0
2,0,0.25,14,120.5
2,0,0.25,15,51.0
2,0,0.25,16,16.5
2,0,0.25,17,45.0
2,0,0.25,18,74.0
2,0,0.25,19,22.5
2,0,0.5,0,24.0
2,0,0.5,1,36.5
2,0,0.5,2,103.5
2,0,0.5,3,37.5
2,0,0.5,4,32.5
2,0,0.5,5,22.0
2,0,0.5,6,5.0
2,0,0.5,7,37.0
2,0,0.5,8,29.5
2,0,0.5,9,21.5
2,0,0.5,10,24.5
2,0,0.5,11,133.0
2,0,0.5,12,37.5
2,0,0.5,13,38.5
2,0,0.5,14,128.5
2,0,0.5,15,59.5
2,0,0.5,16,22.0
2,0,0.5,17,43.5
2,0,0.5,18,185.5
2,0,0.5,19,445.5
2,0,0.75,0,64.5
2,0,0.75,1,29.0
2,0,0.75,2,782.0
2,0,0.75,3,12.0
2,0,0.75,4,25.0
2,0,0.75,5,10.5
2,0,0.75,6,75.0
2,0,0.75,7,20.5
2,0,0.75,8,20.0
2,0,0.75,9,29.5
2,0,0.75,10,86.0
2,0,0.75,11,44.5
2,0,0.75,12,28.5
2,0,0.75,13,336.0
2,0,0.75,14,15.5
2,0,0.75,15,286.5
2,0,0.75,16,30.0
2,0,0.75,17,26.0
2,0,0.75,18,6.0
2,0,0.75,19,69.0
2,0,1.0,0,24.5
2,0,1.0,1,22.5
2,0,1.0,2,49.0
2,0,1.0,3,24.5
2,0,1.0,4,91.0
2,0,1.0,5,142.0
2,0,1.0,6,26.5
2,0,1.0,7,28.5
2,0,1.0,8,20.5
2,0,1.0,9,31.5
2,0,1.0,10,82.0
2,0,1.0,11,107.5
2,0,1.0,12,17.5
2,0,1.0,13,69.0
2,0,1.0,14,144.0
2,0,1.0,15,298.0
2,0,1.0,16,62.0
2,0,1.0,17,117.0
2,0,1.0,18,56.5
2,0,1.0,19,80.5
2,1,0.0,0,18.0
2,1,0.0,1,53.5
2,1,0.0,2,14.5
2,1,0.0,3,54.0
2,1,0.0,4,26.0
2,1,0.0,5,51.0
2,1,0.0,6,53.0
2,1,0.0,7,20.0
2,1,0.0,8,17.0
2,1,0.0,9,28.5
2,1,0.0,10,27.0
2,1,0.0,11,49.0
2,1,0.0,12,11.0
2,1,0.0,13,1.0
2,1,0.0,14,110.5
2,1,0.0,15,15.0
2,1,0.0,16,15.0
2,1,0.0,17,82.5
2,1,0.0,18,18.0
2,1,0.0,19,76.0
2,1,0.25,0,30.5
2,1,0.25,1,18.5
2,1,0.25,2,200.0
2,1,0.25,3,29.5
2,1,0.25,4,4.0
2,1,0.25,5,93.0
2,1,0.25,6,3.0
2,1,0.25,7,49.5
2,1,0.25,8,1116.5
2,1,0.25,9,15.5
2,1,0.25,10,83.0
2,1,0.25,11,86.0
2,1,0.25,12,28.5
2,1,0.25,13,84.0
